lat	lon	title	description	icon	iconSize	iconOffset
51.888043574248	12.238448886543	ROSSLAU	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>247.00 53.83 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=501490">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
51.86352184864	12.225180063373	DESSAU	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>263.00 52.95 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 11:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502000">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
51.864503669261	12.060717149915	AKEN	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>249.00 50.21 Fallend<br><br>Datum - Uhrzeit:<br>09.04.2011 - 11:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502010">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
51.991513927402	11.883223688125	BARBY	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>253.00 46.11 Fallend<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502070">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.031194619483	11.740578152211	SCHÖNEBECK	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>288.00 42.70 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502130">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.125944719364	11.636737380116	MAGDEBURG-BUCKAU	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>252.00 40.38 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502170">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.135789586474	11.645019690771	MAGDEBURG-STROMBRÜCKE	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>229.00 39.89 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502180">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.187748722428	11.683980629953	ROTHENSEE	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>334.00 37.19 Steigend<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502210">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.257184749603	11.742615713384	NIEGRIPP AP	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>439.00 34.41 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502240">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.319815658857	11.770076297701	ROGÄTZ	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>246.00 35.21 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502250">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.410549426026	11.978512530056	PAREY EP	PAREYER VERBINDUNGSKANAL ELBEGEBIET<br><br>Messwert PnP Tendenz<br>306.00 30.89 Fallend<br><br>Datum - Uhrzeit:<br>09.04.2011 - 05:15<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502300">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.544554055134	11.971732157774	TANGERMÜNDE	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>341.00 27.56 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502350">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.617149449401	12.003824498391	STORKAU	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>383.00 25.88 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502370">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.791579935982	12.032393491121	SANDAU	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>385.00 22.46 Fallend<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502430">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.884425279399	12.01049650329	NEUWERBEN EP	UNTERE HAVEL-WASSERSTRASSE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>389.00 20.40 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502470">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.840420845895	12.055887643402	HAVELBERG EP	UNTERE HAVEL-WASSERSTRASSE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>356.00 21.57 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=502475">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.914757909575	11.887825263449	GNEVSDORF EP	UNTERE HAVEL-WASSERSTRASSE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>347.00 19.14 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=503010">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.963514984473	11.839347919037	SCHARLEUK	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>361.00 17.57 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=503030">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
52.992452314758	11.761411346587	WITTENBERGE	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>348.00 16.72 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=503050">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
53.01488521057	11.657272591473	MÜGGENDORF	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>421.00 15.15 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=503070">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
53.086792759426	11.457690530419	LENZEN	ELBE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>352.00 12.43 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=503120">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
51.357171714302	12.005211859572	RISCHMÜHLE UP	SAALE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>241.00 81.63 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 05:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=570630">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
51.44165915209	11.9464619469	RÖPZIG	SAALE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>76.00 77.06 Gleich<br><br>Datum - Uhrzeit:<br>09.04.2011 - 10:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=570710">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
51.520282823542	11.956701042372	TROTHA OP	SAALE ELBEGEBIET<br><br>Messwert PnP Tendenz<br>258.00 71.23 Fallend<br><br>Datum - Uhrzeit:<br>09.04.2011 - 11:00<br><br>Fehler vorhanden: 0<br><br><a href="http://www.pegelonline.wsv.de/gast/stammdaten?pegelnr=570800">Ganglinie</a><br><br>(click to close)	Ol_icon_blue_example.png	20,20	0,-20
